date,LNMV,PE,score,H_T,H_T,kama,ema12,ema13,ema14,ema15,ema16,ema17,ema18,ema19,ema20,ema21,ema22,ema23,ema24,ema25,ema26,ma_5,ma_6,ma_7,ma_8,ma_9,ma_10,ma_11,ma_12,ma_13,ma_14,ma_15,ma_16,ma_17,ma_18,ma_19,ma_20,fluctuation
2021/4/27,27.24388696,593.9610673,26.6134966,233.8202199,233.8202199,239.615253,239.5243389,239.1337002,238.7430668,238.3615911,237.9960582,237.6512972,237.3305377,237.0357172,236.7677442,236.5267215,236.3121347,236.1230086,235.9580365,235.8156851,235.6942788,242.41,241.9522167,241.4176143,242.064575,242.5333222,242.68766,243.7257545,242.9147167,241.5884538,240.6130857,239.48266,238.9237438,238.4194059,237.4285111,236.6503421,235.41149,-4.53
2021/4/28,27.2290499,585.2464244,21.5291222,234.6699511,234.6699511,237.6821114,238.2847026,238.0384161,237.7728895,237.4997427,237.2279284,236.9641825,236.7134126,236.479033,236.2632514,236.0673136,235.8917093,235.7363451,235.6006879,235.4838824,235.3848464,239.09534,240.5861167,240.4542857,240.17375,240.8870333,241.42666,241.6675727,242.7041667,242.0341,240.8654714,240.0033267,238.9816625,238.4850941,238.0331444,237.1147316,236.39116,-1.47
2021/4/29,27.2033104,570.5815514,7.596410402,235.3869784,235.3869784,235.1223213,236.3434715,236.2710284,236.1587321,236.0206154,235.8677908,235.7089211,235.5506286,235.3978498,235.254141,235.1219402,235.0027893,234.8975219,234.8064202,234.7293447,234.6658414,236.24934,236.8572333,238.4547714,238.6058375,238.5618556,239.365,239.9939364,240.3341667,241.3935923,240.865,239.85222,239.1072875,238.1984294,237.7729611,237.3822789,236.54233,-2.51
2021/4/30,27.2497607,597.9222686,2.966106146,235.9657638,235.9657638,235.3869046,236.3644767,236.3008844,236.2015765,236.078061,235.9398676,235.7947058,235.6486676,235.506443,235.3715306,235.2464335,235.132837,235.0317646,234.943713,234.8687671,234.806697,234.91868,236.2877833,236.8033429,238.207925,238.3696333,238.35367,239.1027273,239.7011083,240.0376923,241.0426214,240.5726667,239.6414563,238.9527412,238.1029611,237.7049105,237.337165,4.79
2021/5/3,27.21550567,577.2397409,3.187708215,236.4229967,236.4229967,234.2192053,235.1237881,235.1579015,235.1480346,235.1058077,235.0410696,234.9619814,234.8751636,234.7858706,234.6981733,234.6151359,234.5389804,234.4712346,234.4128634,234.3643815,234.3259499,231.36534,233.8155667,235.1466714,235.740425,237.1070444,237.36267,237.4397,238.2025,238.8241,239.1992857,240.1931133,239.805625,238.9743118,238.3609222,237.5870158,237.234665,-3.46
2021/5/4,27.19869855,567.7160016,25.30928526,236.6199019,236.6199019,232.9895139,233.4944814,233.6400982,233.7327274,233.7842202,233.8048059,233.803123,233.7863228,233.7602116,233.7294088,233.6975072,233.6672266,233.6405552,233.6188782,233.6030894,233.5936888,229.28934,230.2266667,232.4895286,233.82,234.4951889,235.84967,236.1963636,236.3641667,237.1510231,237.8033286,238.2215533,239.214375,238.9072529,238.1720333,237.6331526,236.93433,-1.65
2021/5/5,27.19406534,565.4741302,13.01114355,236.5448867,236.5448867,231.2283455,231.9794385,232.2124714,232.3879284,232.5170421,232.6097622,232.6746893,232.7191053,232.7490604,232.7694899,232.7843439,232.7967196,232.8089869,232.8229053,232.8397286,232.8602979,227.72534,228.3489,229.2866714,231.384175,232.6896333,233.41034,234.7403091,235.1505583,235.3859,236.1864286,236.8595533,237.310625,238.2986294,238.0594444,237.4075421,236.93383,-0.39
2021/5/6,27.18317029,559.2373451,26.27874387,236.1528221,236.1528221,229.9479623,230.3179861,230.6364029,230.8935344,231.0999028,231.2650635,231.3974579,231.5043786,231.5920032,231.6654726,231.7289904,231.7859326,231.8389573,231.8901109,231.9409246,231.9925025,226.828,226.63445,227.3247714,228.2733375,230.2503778,231.53867,232.2984909,233.6102833,234.0759,234.3711929,235.186,235.8795813,236.3617647,237.3475944,237.1710526,236.596165,-1.1
2021/5/7,27.19715653,566.6793467,13.82019999,235.5771832,235.5771832,228.9446535,229.3649581,229.7059616,229.9908426,230.2278433,230.4248925,230.5892945,230.7275699,230.8453971,230.9476183,231.0382858,231.1207305,231.197641,231.2711454,231.3428914,231.4141204,224.35666,226.3772167,226.2757143,226.9245875,227.8122222,229.63767,230.8645455,231.617225,232.8805154,233.365,233.688,234.4945813,235.1880353,235.68185,236.6515789,236.518665,1.33
2021/5/10,27.13014582,530.1604418,12.34965292,234.7959199,234.7959199,228.5909236,226.3365029,226.8451095,227.2827289,227.6593594,227.9843088,228.2660227,228.5120038,228.7287991,228.9220321,229.0964643,229.2560736,229.4041393,229.5433291,229.6757825,229.8031884,220.63266,221.91055,223.9919,224.20125,225.0085222,225.999,227.8233364,229.0991667,229.9297462,231.2233357,231.786,232.1875,233.0349,233.7709222,234.3133316,235.303,-6.44
2021/5/11,27.11182724,520.1815857,19.06141163,233.8893067,233.8893067,228.3203151,223.1667791,223.829136,224.4094696,224.9185964,225.3665303,225.76236,226.1141939,226.4291564,226.7134241,226.9722868,227.2102238,227.4309881,227.6376911,227.8328862,228.0186457,216.87266,218.1494333,219.5995143,221.709575,222.1492556,223.081,224.1566636,225.9825,227.3017923,228.2014286,229.524,230.1577063,230.6313706,231.5181444,232.2952579,232.88433,-1.88
2021/5/12,27.06538726,497.1644777,22.513784,232.8882253,232.8882253,228.2925237,219.0841983,219.9435474,220.705547,221.3825394,221.9858025,222.5255158,223.0107577,223.4495341,223.8488333,224.2146984,224.5523106,224.8660766,225.1597175,225.436353,225.698581,211.46932,213.4988833,215.0752286,216.728325,218.9229556,219.59733,220.6763636,221.862775,223.7246154,225.11095,226.0966667,227.468125,228.1854882,228.7424056,229.6819263,230.511995,-4.42
2021/5/13,27.03500065,481.8253577,4.541462938,231.6294348,231.6294348,227.7018663,214.6963686,215.7463718,216.6865887,217.5301552,218.2890853,218.9742585,219.5954284,220.1612569,220.6793693,221.1564262,221.5982039,222.0096806,222.3951219,222.758164,223.1018926,205.34598,207.9849833,210.2223714,212.0112375,213.8211,216.08699,216.9578727,218.1669417,219.4551231,221.35595,222.8077733,223.8758313,225.2972529,226.0953667,226.7329789,227.725995,-3.09
2021/5/14,27.06538726,497.0380563,9.348327875,230.3388499,230.3388499,227.5948134,211.9092341,213.0083157,214.005701,214.9113619,215.7350201,216.4858921,217.1725294,217.8027315,218.3835138,218.9211137,219.421023,219.8880368,220.3263128,220.739433,221.1304678,199.83732,203.8849833,206.3557,208.517075,210.2966556,212.09699,214.3136273,215.2597167,216.5064077,217.8211857,219.70422,221.1685375,222.2701941,223.70185,224.5419263,225.22533,3.16
2021/5/17,27.04403413,486.1573949,16.71523007,228.9586758,228.9586758,227.1625867,208.8888441,210.0466557,211.108499,212.0820241,212.9752061,213.7959576,214.5518689,215.2500441,215.8970077,216.498664,217.0602917,217.5865641,218.0815847,218.548932,218.9917091,196.35666,198.5772167,202.2266571,204.595825,206.7125889,208.49466,210.2951455,212.4772167,213.4917923,214.7757143,216.11822,217.99,219.4690176,220.6038889,222.0478947,222.928665,-2.19
2021/5/18,27.04583108,487.033916,10.46349678,227.649426,227.649426,227.0964989,206.3864528,207.5576052,208.6438069,209.6496866,210.5808711,211.4434545,212.2436263,212.9874196,213.6805488,214.3283128,214.9355464,215.5066049,216.0453716,216.5552806,217.0393482,193.73466,195.7344333,197.7266571,201.0262375,203.2655444,205.30366,207.0518091,208.8224917,210.9499923,212.0011857,213.2988867,214.6497875,216.4978412,217.9775889,219.1312263,220.576665,0.18
2021/5/19,27.02037516,474.8890413,31.2804242,226.3696163,226.3696163,227.0613096,203.5300757,204.7379484,205.8673025,206.9209841,207.9031408,208.8186666,209.672796,210.4708174,211.2178763,211.9188481,212.5782622,213.2002636,213.7886009,214.3466325,214.8773447,191.97266,192.7488833,194.6038,196.488325,199.5588778,201.72099,203.7142364,205.4491583,207.2069154,209.29785,210.3891067,211.7064563,213.0715647,214.9046278,216.3903474,217.565665,-2.49
2021/5/20,27.06009157,494.5433423,38.50911682,225.1900591,225.1900591,227.0442327,202.3090333,203.4315702,204.4974359,205.5050246,206.4549266,207.3491863,208.1907533,208.9830827,209.7298503,210.4347538,211.1013807,211.7331231,212.3331299,212.9042823,213.4491879,192.97866,192.5761,193.1552286,194.7274875,196.3888778,199.16232,201.1639273,203.0374917,204.6910154,206.3773714,208.3842133,209.4643687,210.7586235,212.10055,213.8882421,215.350495,4.14
2021/5/21,27.05120262,489.5707705,1.17E+11,223.9478787,223.9478787,227.0330358,200.9732898,202.0308746,203.0480049,204.0202353,204.9457263,205.8244715,206.6577063,207.4474648,208.1962514,208.9068046,209.5819291,210.2243821,210.836799,211.4216474,211.981204,192.388,193.0866667,192.7261857,193.2141625,194.6051778,196.11266,198.6590818,200.535825,202.3135846,203.9007071,205.5273267,207.4618688,208.5327412,209.80685,211.1282421,212.875165,-1.01
2021/5/24,27.09316682,511.1129632,44.40246453,222.4772614,222.4772614,226.8917753,201.153815,202.047423,202.9278368,203.7860586,204.6164643,205.4159038,206.1830054,206.9176432,207.6205357,208.292946,208.936462,209.5528388,210.1438867,210.7113955,211.2570848,194.362,194.01445,194.3809571,193.90375,194.2066667,195.35933,196.6612091,198.9497167,200.6597385,202.3016643,203.7837733,205.3160375,207.1492118,208.1779611,209.4036842,210.679165,4.4
2021/5/25,27.09145302,509.6380478,20.31227672,220.5874042,220.5874042,226.6934472,201.2168129,201.9782633,202.7459008,203.5082195,204.2572818,204.9878646,205.6967742,206.3823053,207.0438196,207.6814234,208.295724,208.8876479,209.4583081,210.0089084,210.5406768,196.15,195.5622167,195.0928571,195.27875,194.7548111,194.94233,195.9233273,197.0697167,199.1507615,200.7242786,202.25244,203.6449938,205.0952882,206.8388833,207.8298211,209.011665,-0.29
2021/5/26,27.1135065,521.8082067,9.103178667,218.7876722,218.7876722,226.4714427,202.0106421,202.606613,203.2300122,203.8667923,204.5066546,205.1422412,205.7684641,206.3819582,206.9806461,207.5633951,208.129752,208.679739,209.2137011,209.7321912,210.2358861,199.86134,197.85445,197.1071429,196.5033375,196.5118556,195.917,195.9818182,196.7944417,197.7856385,199.6669,201.1011067,202.5102063,203.8056824,205.1664778,206.8145579,207.757165,2.39
2021/5/27,27.13344072,531.6859257,2.463409904,216.9432956,216.9432956,226.0451443,203.2833588,203.703283,204.1704517,204.6688586,205.1862664,205.7134836,206.2437362,206.7721396,207.2952647,207.8107884,208.3172163,208.8136652,209.2996948,209.7751787,210.2402074,202.79934,201.5983333,199.63,198.7541625,198.0344444,197.889,197.2230273,197.1736083,197.8320462,198.6783286,200.37466,201.6749938,202.9674471,204.16555,205.4357842,206.987995,1.89
2021/5/28,27.12352328,526.9409122,5.485467102,215.2644183,215.2644183,225.8566478,204.0715655,204.3752011,204.735289,205.1360998,205.5651665,206.0127832,206.4715194,206.9357804,207.4014289,207.865467,208.3257765,208.780909,209.2299193,209.6722349,210.1075545,205.75534,203.7339,202.5709571,200.7270875,199.8266667,199.07167,198.8451545,198.155,198.0376923,198.5873786,199.3268867,200.8766625,202.0709765,203.2696278,204.3887684,205.58433,-0.8924
2021/6/1,27.12186077,525.8284046,11.21297819,213.361431,213.361431,225.1038866,204.6708181,204.8882764,205.166156,205.4899567,205.8477732,206.2300386,206.6292026,207.0394042,207.4561656,207.8761227,208.2967943,208.7163895,209.1336508,209.5477272,209.9580736,206.91934,206.1239,204.3385857,203.245425,201.5314889,200.64067,199.8803091,199.6052833,198.9097462,198.7469071,199.2126667,199.866875,201.2937235,202.3985167,203.5168421,204.567665,-0.21
2021/6/2,27.09145302,510.0004556,16.03038278,211.4897994,211.4897994,225.0027615,204.2148011,204.4337698,204.7049082,205.0170834,205.3606663,205.727609,206.1113596,206.5067002,206.9095576,207.3168137,207.7261309,208.1357974,208.5445963,208.9516951,209.3565558,206.94802,206.0505667,205.4928714,204.0096,203.0744556,201.54901,200.7375818,200.0325083,199.7669308,199.1095286,198.9442267,199.3685438,199.9751,201.3166667,202.3621053,203.426335,-3.01
2021/6/3,27.03681388,482.7945878,8.794189842,209.6825606,209.6825606,224.4895188,202.1735535,202.5070409,202.8704665,203.2582491,203.6648215,204.0851098,204.5147406,204.9500908,205.3882525,205.8269567,206.2644807,206.699555,207.1312763,207.5590317,207.9824328,203.86202,204.2811333,203.8928714,203.6746,202.5581667,201.86168,200.5851636,199.921675,199.3336,199.1369143,198.56534,198.4443813,198.8731412,199.4735222,200.7708789,201.791335,-5.33
2021/6/4,27.0811081,504.8846062,11.74939103,207.8054446,207.8054446,224.4551542,201.7904383,202.1036519,202.4455187,202.8114007,203.1964539,203.5961176,204.0063563,204.4237504,204.8454977,205.2693676,205.6936319,206.1169886,206.5384882,206.9574651,207.3734784,201.74202,203.1655667,203.6243,203.366675,203.2311222,202.27068,201.6636455,200.5100083,199.9033385,199.3585786,199.17334,198.6352125,198.5172588,198.91815,199.4845632,200.7165,4.58
